Value,Holiday,time,mdate,day,week,month,year
0.0,,6,31,5,5,1,2015
0.0,,7,31,5,5,1,2015
0.0,,8,31,5,5,1,2015
0.0,,9,31,5,5,1,2015
7.0,,10,31,5,5,1,2015
26.0,,11,31,5,5,1,2015
29.0,,12,31,5,5,1,2015
37.0,,13,31,5,5,1,2015
41.0,,14,31,5,5,1,2015
41.0,,15,31,5,5,1,2015
34.0,,16,31,5,5,1,2015
24.0,,17,31,5,5,1,2015
25.0,,18,31,5,5,1,2015
19.0,,19,31,5,5,1,2015
22.0,,20,31,5,5,1,2015
0.0,,21,31,5,5,1,2015
1.0,,22,31,5,5,1,2015
0.0,,23,31,5,5,1,2015
0.0,,0,1,6,5,2,2015
0.0,,1,1,6,5,2,2015
0.0,,2,1,6,5,2,2015
0.0,,3,1,6,5,2,2015
